"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Todd Gurley","RB","LAR",345,14.3,12.2,325,367,184,193,176,1,1,1,1,"1",1.51,66.9,3
"2","David Johnson","RB","ARI",333,18.4,15.1,313,362,172,181,171,2,2,2,2,"1",3.7,61.9,11
"3","LeVeon Bell","RB","PIT",317,22.3,18.1,285,346,157,154,155,3,3,3,3,"2",3.42,64.2,41
"4","Alvin Kamara","RB","NO",299,18.5,2.28,278,329,139,146,138,4,5,4,4,"3",6.39,56.9,15
"5","Ezekiel Elliott","RB","DAL",297,14.1,24.7,278,319,136,146,128,5,4,6,5,"4",3.92,63.4,4
"6","Antonio Brown","WR","PIT",320,17,28.8,293,343,131,126,127,6,6,7,1,"1",5.64,61.3,7
"7","Aaron Rodgers","QB","GB",400,23.1,31.8,373,439,125,122,132,7,9,5,1,"1",25.9,25.8,1
"8","Kareem Hunt","RB","KC",272,16.5,1.4,255,297,112,123,106,8,8,10,6,"4",10,52,14
"9","Saquon Barkley","RB","NYG",271,17.1,0.103,244,294,110,112,103,9,11,11,7,"4",7.07,57.3,13
"10","Melvin Gordon","RB","LAC",271,19.2,5.51,239,294,110,108,102,10,12,12,8,"5",11.3,49.8,17
"11","Leonard Fournette","RB","JAC",265,13.4,0.481,248,284,105,116,92.7,11,10,15,9,"5",10.8,50.8,7
"12","Christian McCaffrey","RB","CAR",265,9.49,15.5,255,280,104,123,88.5,12,7,17,10,"5",17.3,40.1,1
"13","Rob Gronkowski","TE","NE",241,11,13.4,223,251,104,100,90.6,13,15,16,1,"1",20.9,35.4,3
"14","DeAndre Hopkins","WR","HOU",291,19.4,3.5,268,323,103,101,108,14,14,9,2,"1",10.6,54.2,15
"15","Odell Beckham","WR","NYG",288,23.5,4.51,261,326,99,94.2,111,15,20,8,3,"1",11.9,52.5,27
"16","Julio Jones","WR","ATL",283,11.1,7.04,268,299,94.5,102,84.1,16,13,19,4,"1",13.1,50.6,1
"17","Tom Brady","QB","NE",369,20.7,3.26,350,400,92.9,99.1,93.4,17,17,14,2,"1",40.5,17.3,9
"18","Travis Kelce","TE","KC",227,10.7,23,215,242,90.6,92.8,81.8,18,21,20,2,"2",28,28.8,1
"19","Russell Wilson","QB","SEA",365,18.8,3.23,342,395,89.6,91.7,88,19,22,18,3,"1",52,13,3
"20","Dalvin Cook","RB","MIN",249,12.9,12.8,232,265,88.8,100,73.9,20,16,23,11,"6",15.4,46.1,6
"21","Michael Thomas","WR","NO",276,10.8,5.92,262,290,87.5,95.7,75.3,21,19,22,5,"2",17.3,44.2,1
"22","Deshaun Watson","QB","HOU",362,32.8,23.7,317,403,86.4,67.1,96.1,22,28,13,4,"2",42.6,14,43
"23","Keenan Allen","WR","LAC",270,15.4,14.1,249,294,81.6,82.8,78.5,23,23,21,6,"3",18.6,43.4,10
"24","Devonta Freeman","RB","ATL",237,8.01,8.81,231,251,75.9,99,59.8,24,18,26,12,"7",19.8,36.9,1
"25","Zach Ertz","TE","PHI",204,10.9,25.7,188,216,67.6,65.6,55.8,25,29,28,3,"3",37,21.4,6
"26","Davante Adams","WR","GB",256,11.9,4.41,242,274,67.5,75.4,59,26,24,27,7,"3",20.8,39.3,6
"27","LeSean McCoy","RB","BUF",228,28.1,11.7,188,261,67.1,55.7,70.1,27,37,25,13,"7",28.2,30.6,38
"28","A.J. Green","WR","CIN",252,12.3,7.53,230,264,63.1,63.7,49.4,28,31,35,8,"3",21.8,39,4
"29","Drew Brees","QB","NO",338,23,1.28,320,379,62.7,69.7,72.3,29,25,24,5,"2",63.6,7.73,6
"30","Cam Newton","QB","CAR",337,13.4,5.04,320,357,61.4,69.6,50.7,30,26,32,6,"2",57.4,10.5,20
"31","Ben Roethlisberger","QB","PIT",332,12.2,3.42,315,347,56.4,64.1,40.8,31,30,39,7,"2",94.4,3.64,40
"32","Mike Evans","WR","TB",245,16.7,0.17,222,270,55.6,55.8,55.1,32,34,30,9,"3",26.5,35.9,17
"33","Joe Mixon","RB","CIN",216,20.4,5.14,188,241,55.4,55.8,50.3,34,35,33,14,"8",29.8,25.6,20
"34","Tyreek Hill","WR","KC",244,12.2,10.5,234,266,55.4,67.3,51.1,33,27,31,10,"4",28.9,28.9,13
"35","Andrew Luck","QB","IND",329,19.4,1.7,301,354,52.9,51,47.7,35,40,36,8,"3",88.8,4.66,86
"36","Matthew Stafford","QB","DET",327,13.8,1.7,311,350,51.2,60.7,43.5,36,32,37,9,"3",88.8,4.25,14
"37","Jordan Howard","RB","CHI",211,15.6,6.59,188,230,50.3,55.7,38.8,37,36,40,15,"8",26,29.7,8
"38","Philip Rivers","QB","LAC",325,14,3.86,303,339,49.5,52.8,32,38,38,47,10,"3",110,3.36,17
"39","Matt Ryan","QB","ATL",321,13.4,0.744,300,337,45.7,49.9,30.2,39,41,50,11,"3",112,3.77,31
"40","Kirk Cousins","QB","MIN",321,15.1,1.63,299,341,44.9,48.6,34.2,40,42,43,12,"3",80.8,5.86,11
"41","Larry Fitzgerald","WR","ARI",234,7.57,4.74,223,244,44.9,56.9,28.6,41,33,53,11,"4",37.8,25.4,3
"42","Kenyan Drake","RB","MIA",204,21.2,8.78,174,232,43.7,41.8,40.9,42,47,38,16,"9",36.5,20.5,24
"43","Jimmy Garoppolo","QB","SF",319,16.8,1.45,292,338,43.3,41.8,31.7,43,45,48,13,"3",98.4,4.04,37
"44","Jared Goff","QB","LAR",318,12.5,1.53,297,331,41.9,47,24.3,45,44,60,14,"3",120,2.93,26
"45","Greg Olsen","TE","CAR",179,16.3,0.886,150,195,41.9,27.7,34.8,44,61,42,4,"3",57.8,8.67,31
"46","Evan Engram","TE","NYG",178,10.6,3.01,162,192,41,39.2,31.4,46,50,49,5,"3",65.5,6.58,11
"47","Alex Smith","QB","WAS",316,15.5,7.6,290,335,40.3,39.8,28.6,47,49,52,15,"4",135,2.26,77
"48","Stefon Diggs","WR","MIN",229,10.9,2.9,218,248,40.1,51.7,32.6,48,39,46,12,"5",32.6,20.8,14
"49","Delanie Walker","TE","TEN",175,11.9,1.66,155,189,38,32.9,28.3,49,56,55,6,"3",72.2,4.89,9
"50","Doug Baldwin","WR","SEA",226,14.3,1.13,208,249,37.2,41.8,33.8,50,46,45,13,"5",39.2,21.3,21
"51","Jimmy Graham","TE","GB",173,22.9,9.85,144,210,36.3,22.1,49.5,51,65,34,7,"4",51.7,9.47,43
"52","Jarvis Landry","WR","CLE",225,20.7,0.637,192,244,36.1,25,29,52,63,51,14,"5",46.7,14,31
"53","Adam Thielen","WR","MIN",224,20.5,0.33,193,249,35.5,26.6,34.2,53,62,44,15,"5",32.9,27.6,34
"54","Amari Cooper","WR","OAK",224,13.8,2.71,202,240,35.1,35.2,24.9,54,52,58,16,"5",39.8,16.4,18
"55","Alex Collins","RB","BAL",196,12.7,9.99,179,213,34.9,47.4,22.4,55,43,62,17,"9",38.7,15.3,10
"56","Carson Wentz","QB","PHI",308,34.7,3.65,268,362,32.7,17.9,55.6,56,70,29,16,"4",77.8,6.01,99
"57","T.Y. Hilton","WR","IND",221,19.2,1.12,190,241,32.4,23.5,26.1,57,64,56,17,"5",32.7,26.1,25
"58","Demaryius Thomas","WR","DEN",220,9.06,0.157,207,232,31.3,40.2,16.7,58,48,66,18,"5",46.1,18,8
"59","Golden Tate","WR","DET",220,10.8,2.34,203,231,31.2,36.7,15.8,59,51,68,19,"5",51.4,12.3,11
"60","Patrick Mahomes","QB","KC",305,16.1,0.611,280,323,29.1,30.1,15.9,60,59,67,17,"4",120,3,60
"61","JuJu Smith-Schuster","WR","PIT",218,16.5,9.32,202,243,28.8,35,28.4,61,53,54,20,"6",43.6,17.2,23
