"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","110","152","1,338","12.2","52","19","12","2","5","0","1","17","316.3","18.6","96.2%"
"2","T.J. Hockenson (MIN)","86","129","914","10.6","81","5","6","0","0","0","1","17","215.4","12.7","95.7%"
"3","George Kittle (SF)","60","86","765","12.8","54","12","11","0","0","0","1","15","200.5","13.4","99.2%"
"4","Mark Andrews (BAL)","73","113","847","11.6","36","7","5","3","8","0","0","15","190.5","12.7","93.6%"
"5","Evan Engram (DEN)","73","98","766","10.5","36","10","4","2","13","0","0","17","176.9","10.4","88.0%"
"6","Tyler Higbee (LAR)","72","108","620","8.6","26","4","3","0","0","0","0","16","152.0","9.5","8.1%"
"7","Pat Freiermuth (PIT)","63","98","732","11.6","57","9","2","0","0","0","0","15","148.2","9.9","23.1%"
"8","Cole Kmet (CHI)","50","69","544","10.9","50","6","7","2","9","0","0","17","147.3","8.7","10.3%"
"9","Taysom Hill (NO)","9","13","77","8.6","30","1","2","96","575","7","0","16","145.8","9.1","6.7%"
"10","Dalton Schultz (HOU)","57","89","577","10.1","30","5","5","0","0","0","1","15","142.7","9.5","12.2%"
"11","David Njoku (CLE)","58","80","628","10.8","38","8","4","2","-8","0","1","14","142.0","10.1","90.6%"
"12","Dallas Goedert (PHI)","55","69","702","12.8","31","11","3","0","0","0","1","12","141.2","11.8","76.7%"
"13","Gerald Everett (FA)","58","87","555","9.6","26","4","4","1","0","0","0","15","139.5","9.3","1.4%"
"14","Dawson Knox (BUF)","48","65","517","10.8","45","8","6","0","0","0","0","15","135.7","9.0","2.9%"
"15","Juwan Johnson (NO)","42","65","508","12.1","41","8","7","0","0","0","0","16","134.8","8.4","8.9%"
"16","Tyler Conklin (LAC)","58","87","552","9.5","30","6","3","2","3","0","0","17","131.5","7.7","5.5%"
"17","Noah Fant (CIN)","50","63","486","9.7","51","4","4","0","0","0","0","17","122.6","7.2","6.4%"
"18","Jordan Akins (FA)","37","54","495","13.4","46","8","5","0","0","0","1","15","116.5","7.8","1.0%"
