"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (SEA)","145","191","1,947","13.4","59","30","16","4","18","0","0","17","439.5","25.9","83.1%"
"2","Davante Adams (LAR)","123","169","1,553","12.6","59","19","11","0","0","0","0","16","344.3","21.5","96.5%"
"3","Deebo Samuel Sr. (WAS)","77","121","1,405","18.2","83","24","6","59","365","8","2","16","339.0","21.2","83.6%"
"4","Justin Jefferson (MIN)","108","167","1,616","15.0","56","27","10","6","14","0","1","17","330.4","19.4","99.5%"
"5","Ja'Marr Chase (CIN)","81","128","1,455","18.0","82","22","13","7","21","0","1","17","304.6","17.9","99.6%"
"6","Tyreek Hill (MIA)","111","159","1,239","11.2","75","13","9","9","96","0","1","17","296.5","17.4","98.3%"
"7","Stefon Diggs (NE)","103","164","1,225","11.9","61","12","10","0","0","0","0","17","285.5","16.8","83.8%"
"8","Diontae Johnson (CLE)","107","169","1,161","10.9","50","14","8","5","53","0","2","16","274.4","17.2","7.7%"
"9","Mike Evans (TB)","74","114","1,035","14.0","46","20","14","1","10","0","0","16","262.5","16.4","97.6%"
"10","Hunter Renfrow (CAR)","103","128","1,038","10.1","54","10","9","3","3","0","1","17","259.1","15.2","1.9%"
"11","Keenan Allen (LAC)","106","157","1,138","10.7","42","12","6","0","0","0","0","16","257.8","16.1","39.0%"
"12","Mike Williams (FA)","76","129","1,146","15.1","72","17","9","0","0","0","0","16","246.6","15.4","3.2%"
"13","Jaylen Waddle (MIA)","104","140","1,015","9.8","57","8","6","2","3","1","1","16","245.8","15.4","89.3%"
"14","DK Metcalf (PIT)","75","129","967","12.9","84","11","12","1","6","0","0","17","244.3","14.4","96.0%"
"15","Chris Godwin (TB)","98","127","1,103","11.3","44","15","5","4","21","1","2","14","242.4","17.3","83.2%"
"16","Tyler Lockett (TEN)","73","107","1,175","16.1","69","22","8","2","9","0","0","16","241.4","15.1","10.4%"
"17","Michael Pittman Jr. (IND)","88","129","1,082","12.3","57","12","6","5","44","0","0","17","238.6","14.0","65.1%"
"18","DJ Moore (CHI)","93","163","1,157","12.4","64","16","4","8","48","0","1","17","237.5","14.0","93.8%"
"19","CeeDee Lamb (DAL)","79","120","1,102","13.9","49","20","6","9","76","0","0","16","232.8","14.6","99.4%"
"20","Brandin Cooks (NO)","90","134","1,037","11.5","52","12","6","2","21","0","0","16","231.8","14.5","4.8%"
"21","Amon-Ra St. Brown (DET)","90","119","912","10.1","37","11","5","7","61","1","0","16","227.3","14.2","99.6%"
"22","Marquise Brown (KC)","91","146","1,008","11.1","49","15","6","1","5","0","1","16","226.3","14.1","35.7%"
"23","Darnell Mooney (ATL)","81","140","1,055","13.0","64","14","4","6","32","1","0","17","219.7","12.9","58.3%"
"24","Tee Higgins (CIN)","74","110","1,091","14.7","54","17","6","0","0","0","1","14","219.1","15.7","98.3%"
"25","Terry McLaurin (WAS)","77","130","1,053","13.7","46","15","5","1","12","0","0","17","213.5","12.6","96.8%"
"26","Christian Kirk (HOU)","77","103","982","12.8","50","16","5","1","11","0","0","17","207.6","12.2","30.0%"
"27","Amari Cooper (FA)","68","104","865","12.7","41","15","8","0","0","0","0","15","202.5","13.5","8.8%"
"28","Adam Thielen (CAR)","67","95","726","10.8","35","14","10","1","2","0","0","13","199.8","15.4","35.8%"
"29","Jakobi Meyers (LV)","83","126","866","10.4","39","12","2","1","9","0","1","16","186.3","11.6","82.3%"
"30","DeVonta Smith (PHI)","64","104","916","14.3","46","16","5","0","0","0","1","17","185.6","10.9","93.3%"
"31","Tyler Boyd (FA)","67","94","828","12.4","68","10","5","2","22","0","0","16","183.8","11.5","0.7%"
"32","A.J. Brown (PHI)","63","105","869","13.8","57","10","5","2","10","0","0","13","180.9","13.9","99.3%"
"33","Kendrick Bourne (NE)","55","70","800","14.5","75","10","5","12","125","0","1","17","180.5","10.6","1.4%"
"34","Marvin Jones Jr. (FA)","73","120","832","11.4","33","13","4","0","0","0","0","17","180.2","10.6","0.0%"
"35","Brandon Aiyuk (SF)","56","84","826","14.8","43","16","5","5","17","0","1","17","170.3","10.0","55.5%"
"36","Van Jefferson (TEN)","50","89","802","16.0","79","12","6","2","20","0","0","17","168.2","9.9","1.1%"
