player,position,points,adj_points,tier_score,tier
Lamar Jackson,QB,438.0,252.8003319533541,411.05478403472165,1
Josh Allen,QB,432.0,248.68033493584846,402.7259018305893,1
Joe Burrow,QB,415.0,237.00701005291583,379.1274022522143,1
Jayden Daniels,QB,412.0,234.94701154416302,374.9629611501482,1
Ja'Marr Chase,WR,355.0,213.4448529946763,358.33994951758683,1
Jalen Hurts,QB,398.0,225.33368516998323,355.5289026738394,1
Baker Mayfield,QB,377.0,210.9136956087135,326.3778149593762,1
Patrick Mahomes,QB,376.0,210.22702943912924,324.9896679253542,2
Justin Jefferson,WR,317.0,188.39592598851442,304.5512365156373,1
Kyler Murray,QB,361.0,199.92703689536518,304.16746241502335,2
CeeDee Lamb,WR,312.0,185.10001454033525,297.4737742785387,1
Bo Nix,QB,356.0,196.49370604744382,297.22672724491315,2
Brock Purdy,QB,352.0,193.74704136910674,291.67413910882493,2
Puka Nacua,WR,305.0,180.48573851288435,287.5653271466006,1
Jared Goff,QB,346.0,189.62704435160109,283.3452569046925,2
Malik Nabers,WR,302.0,178.50819164397686,283.3188498043415,1
Amon-Ra St. Brown,WR,298.0,175.87146248543348,277.65688001466253,1
Caleb Williams,QB,340.0,185.50704733409546,275.0163747005602,2
Justin Herbert,QB,338.0,184.13371499492692,272.2400806325161,3
Dak Prescott,QB,336.0,182.76038265575838,269.463786564472,3
Justin Fields,QB,333.0,180.70038414700556,265.2993454624058,3
Nico Collins,WR,287.0,168.62045729943927,262.0864630930456,1
Brian Thomas Jr.,WR,284.0,166.64291043053174,257.8399857507864,1
Bijan Robinson,RB,332.0,165.71890515396876,257.4558038188806,1
J.J. McCarthy,QB,323.0,173.83372245116286,251.4178751221853,3
Jordan Love,QB,323.0,173.83372245116286,251.4178751221853,3
C.J. Stroud,QB,320.0,171.77372394241004,247.25343402011913,3
Drake Maye,QB,319.0,171.08705777282577,245.8652869860971,4
Trevor Lawrence,QB,318.0,170.4003916032415,244.47713995207505,4
Saquon Barkley,RB,319.0,158.7205143233925,242.36026950154925,1
Jahmyr Gibbs,RB,318.0,158.18217656719435,241.19907455406224,1
Drake London,WR,268.0,156.09599379635833,235.19210659207084,2
Matthew Stafford,QB,309.0,164.22039607698306,231.98381664587654,4
A.J. Brown,WR,265.0,154.1184469274508,230.94562924981165,2
Tyreek Hill,WR,263.0,152.80008234817913,228.1146443549722,2
Tua Tagovailoa,QB,306.0,162.16039756823025,227.8193755438104,4
Ladd McConkey,WR,262.0,152.1409000585433,226.6991519075525,2
Brock Bowers,TE,259.0,142.20717303421256,223.93925952861724,1
Bryce Young,QB,302.0,159.41373288989314,222.26678740772212,4
Geno Smith,QB,302.0,159.41373288989314,222.26678740772212,4
Trey McBride,TE,254.0,139.18832788675408,217.0625145597542,1
Devon Achane,RB,297.0,146.87708368703272,216.81398065683467,1
Jaxon Smith-Njigba,WR,255.0,147.52662403109244,216.79070477561444,2
Michael Penix Jr.,QB,298.0,156.66706821155606,216.7141992716339,5
Davante Adams,WR,251.0,144.88989487254906,211.12873498593552,2
Tee Higgins,WR,251.0,144.88989487254906,211.12873498593552,2
Aaron Rodgers,QB,293.0,153.2337373636347,209.77346410152364,5
Christian McCaffrey,RB,288.0,142.03204388124917,206.36322612945142,1
Sam Darnold,QB,290.0,151.1737388548819,205.60902299945747,5
Terry McLaurin,WR,247.0,142.25316571400572,205.46676519625663,3
Mike Evans,WR,246.0,141.59398342436987,204.05127274883688,3
Garrett Wilson,WR,244.0,140.2756188450982,201.22028785399743,3
D.J. Moore,WR,241.0,138.29807197619067,196.97381051173826,3
Marvin Harrison Jr.,WR,237.0,135.66134281764732,191.31184072205937,3
Derrick Henry,RB,275.0,135.03365305067294,191.2676918121201,1
Josh Jacobs,RB,275.0,135.03365305067294,191.2676918121201,1
Cam Ward,QB,279.0,143.6204109894549,190.33940562521488,5
Ashton Jeanty,RB,274.0,134.49531529447475,190.10649686463304,1
DK Metcalf,WR,233.0,133.02461365910398,185.6498709323805,3
Chase Brown,RB,268.0,131.26528875728573,183.1393271797109,1
George Kittle,TE,229.0,124.09410214946173,182.67878971543905,1
Courtland Sutton,WR,230.0,131.04706679019645,181.4033935901213,3
DeVonta Smith,WR,229.0,130.38788450056063,179.98790114270162,4
Bucky Irving,RB,265.0,129.65027548869122,179.65574233724985,2
Xavier Worthy,WR,226.0,128.4103376316531,175.74142380044242,4
Kyren Williams,RB,259.0,126.42024895150217,172.68857265232765,2
Zay Flowers,WR,221.0,125.11442618347391,168.6639615633438,4
Calvin Ridley,WR,221.0,125.11442618347391,168.6639615633438,4
Jonathan Taylor,RB,255.0,124.26689792670949,168.04379286237958,2
Jerry Jeudy,WR,219.0,123.79606160420222,165.83297666850433,4
Alvin Kamara,RB,253.0,123.19022241431314,165.7214029674055,2
Rashee Rice,WR,215.0,121.15933244565888,160.17100687882544,4
Jameson Williams,WR,214.0,120.50015015602304,158.75551443140571,4
Jaylen Waddle,WR,211.0,118.52260328711552,154.50903708914655,5
Jakobi Meyers,WR,210.0,117.86342099747968,153.0935446417268,5
Breece Hall,RB,242.0,117.26850709613325,152.94825854504825,2
James Cook,RB,241.0,116.73016933993507,151.7870635975612,2
George Pickens,WR,209.0,117.20423870784384,151.6780521943071,5
Travis Hunter,WR,207.0,115.88587412857217,148.84706729946765,5
Travis Hunter,WR,207.0,115.88587412857217,148.84706729946765,5
Tetairoa McMillan,WR,207.0,115.88587412857217,148.84706729946765,5
Kenneth Walker III,RB,235.0,113.50014280274604,144.81989391263903,2
Chuba Hubbard,RB,234.0,112.96180504654787,143.658698965152,2
Chris Olave,WR,203.0,113.24914497002881,143.18509750978876,5
Rome Odunze,WR,203.0,113.24914497002881,143.18509750978876,5
Deebo Samuel,WR,200.0,111.2715981011213,138.9386201675296,6
Jauan Jennings,WR,199.0,110.61241581148545,137.52312772010984,6
Chris Godwin,WR,199.0,110.61241581148545,137.52312772010984,6
Sam LaPorta,TE,195.0,103.56595514674416,135.91692392717044,1
James Conner,RB,227.0,109.19344075316066,135.53033433274283,2
Stefon Diggs,WR,196.0,108.63486894257794,133.27665037785067,6
Anthony Richardson,QB,237.0,114.7804318669155,132.03723019628856,5
Omarion Hampton,RB,222.0,106.5017519721698,129.7243595953077,3
Khalil Shakir,WR,191.0,105.33895749439874,126.19918814075204,6
Cooper Kupp,WR,190.0,104.6797752047629,124.78369569333233,6
Jordan Addison,WR,189.0,104.02059291512707,123.3682032459126,7
Jayden Reed,WR,189.0,104.02059291512707,123.3682032459126,6
Travis Kelce,TE,185.0,97.52826485182723,122.1634339894444,1
D'Andre Swift,RB,215.0,102.73338767878259,121.59599496289849,3
Matthew Golden,WR,187.0,102.70222833585538,120.53721835107315,7
T.J. Hockenson,TE,183.0,96.32072679284384,119.4127360018992,1
Michael Pittman,WR,185.0,101.38386375658371,117.7062334562337,7
Ricky Pearsall,WR,185.0,101.38386375658371,117.7062334562337,7
TreVeyon Henderson,RB,210.0,100.04169889779173,115.7900202254634,3
Mark Andrews,TE,180.0,94.50941970436875,115.28668902058135,1
Russell Wilson,QB,223.0,105.1671054927357,112.6031717199798,5
Aaron Jones,RB,206.0,97.88834787299905,111.14524043551529,3
Josh Downs,WR,179.0,97.42877001876867,109.21327877171535,7
Darnell Mooney,WR,178.0,96.76958772913284,107.79778632429563,7
Tony Pollard,RB,203.0,96.27333460440452,107.6616555930542,3
David Njoku,TE,173.0,90.2830364979269,105.65924606417312,1
RJ Harvey,RB,200.0,94.65832133581002,104.17807075059314,3
David Montgomery,RB,199.0,94.11998357961184,103.0168758031061,3
Rashid Shaheed,WR,172.0,92.8144939913178,99.30483163977729,7
Joe Mixon,RB,195.0,91.96663255481916,98.372096013158,3
Tyrone Tracy,RB,191.0,89.81328153002646,93.72731622320987,3
Keon Coleman,WR,168.0,90.17776483277446,93.6428618500984,8
Evan Engram,TE,164.0,84.84911523250166,93.28110512021968,2
Keenan Allen,WR,161.0,85.56348880532357,83.73441471816031,8
Tucker Kraft,TE,157.0,80.62273202605981,83.65366216381145,2
Adam Thielen,WR,160.0,84.90430651568774,82.31892227074057,8
Isiah Pacheco,RB,180.0,83.89156621184657,80.9541718008526,4
Tyler Warren,TE,155.0,79.41519396707642,80.90296417626622,2
Jake Ferguson,TE,153.0,78.20765590809303,78.15226618872101,2
Wan'Dale Robinson,WR,157.0,82.92675964678021,78.07244492848139,8
Dallas Goedert,TE,152.0,77.60388687860134,76.77691719494841,2
Jaylen Warren,RB,176.0,81.73821518705388,76.3093920109045,4
Brian Robinson,RB,173.0,80.12320191845936,72.8258071684434,4
Rashod Bateman,WR,153.0,80.29003048823687,72.4104751388025,8
Marvin Mims,WR,153.0,80.29003048823687,72.4104751388025,8
